row_id,predicted_probability,tuned_threshold_prediction,top_drivers,recommended_action
16421,0.00062730,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
1997,0.53403329,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
15345,0.68586391,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
6759,0.67098481,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
4894,0.00037982,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
12324,0.75314409,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
5760,0.63554568,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
8474,0.58878457,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
16535,0.56592943,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
5202,0.61294170,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
1351,0.00052233,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
6507,0.65466762,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
2298,0.55180815,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
24357,0.65994633,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
8190,0.71822248,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
17339,0.00052840,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
670,0.73099822,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
15580,0.00049744,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
2355,0.61580118,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
19094,0.55154157,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
19755,0.00040445,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
9749,0.65527574,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
8339,0.66438365,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
22506,0.54865445,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
24039,0.72648958,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
3009,0.00061012,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
192,0.00039945,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
16466,0.00042912,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
532,0.71908058,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
22686,0.00059820,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
3658,0.54379827,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Investigate checkout/discount friction
2041,0.57944504,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
19180,0.00044685,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
2690,0.64686296,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
3657,0.00075227,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
24749,0.67507122,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
2964,0.60002818,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
7171,0.00034322,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
2744,0.62330558,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
16116,0.00060818,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
21197,0.64543925,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
777,0.66344248,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
14201,0.68291769,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
7799,0.67637685,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
24812,0.00071840,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
20661,0.56552705,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
11689,0.69076494,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
13158,0.00049391,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | time_on_site_sec (-0.1834),Retention/engagement nudge
11459,0.69374967,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
15898,0.65814655,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
7418,0.00047278,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
23171,0.67288454,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
14833,0.00037066,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
6376,0.00069048,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
23314,0.00049464,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
17941,0.53637567,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
12651,0.00041962,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
8204,0.70004785,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
20224,0.66367864,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
5113,0.51426386,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
8724,0.64038344,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.1967),Candidate for promotion - threshold-qualified
18031,0.60550495,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
22034,0.00035165,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
23601,0.00073860,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
7194,0.57858795,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
23239,0.67214098,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
7093,0.66098622,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
7306,0.53664004,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
23945,0.65131583,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
23953,0.00030323,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
8164,0.58380961,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
21368,0.58688473,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
11479,0.71039158,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
24601,0.00069308,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
24167,0.69761735,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
12890,0.62558364,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
8905,0.00056374,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
16402,0.72430679,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
12573,0.62957637,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
23875,0.00041918,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
24008,0.70154525,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
4435,0.00069648,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
24088,0.66602190,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
2933,0.00039874,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
18585,0.61057797,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.2037),Candidate for promotion - threshold-qualified
20739,0.55934488,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
4704,0.68928516,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
22984,0.00032372,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
8541,0.69573192,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
9830,0.00039306,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
12934,0.70338791,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
16574,0.71594178,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
5764,0.64686536,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
17543,0.61054978,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
5393,0.00035890,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
18382,0.68787504,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
5835,0.59418993,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
1208,0.72662508,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
21112,0.64449455,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
5602,0.62631175,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
9263,0.58529334,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
24842,0.00052507,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
17728,0.00034357,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
23131,0.69083901,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
22547,0.71118724,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
3175,0.73281105,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
13600,0.00046386,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | time_on_site_sec (-0.1976),Retention/engagement nudge
19287,0.61851919,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
23051,0.66900261,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
23721,0.00059572,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
10663,0.57612361,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
2224,0.00037561,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
24249,0.00033661,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
24221,0.67876903,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
5771,0.00064891,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
3736,0.59104512,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
2270,0.57356389,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
16861,0.00037731,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
10069,0.55272175,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
4318,0.00031879,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
20950,0.00062077,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
21360,0.00034115,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
4801,0.58861886,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | time_on_site_sec (-0.2009),Candidate for promotion - threshold-qualified
20755,0.00039162,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
14284,0.70355437,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
4813,0.00055292,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
5534,0.67317982,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
1086,0.00034320,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
13831,0.00068916,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
6564,0.60124555,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
10974,0.00035309,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
10022,0.71502317,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
3208,0.00056014,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
19743,0.72404023,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
14348,0.66760717,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
12761,0.00049917,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
5886,0.00063324,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
15159,0.73414694,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
4918,0.00043840,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
5405,0.73079024,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
180,0.57147832,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
22143,0.66147867,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
1411,0.63311199,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
22173,0.57815770,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
23438,0.70096912,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
14690,0.58038286,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
22060,0.00037438,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
12599,0.69530951,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
1299,0.57405948,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
23121,0.00040079,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
20013,0.00045333,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
12874,0.65847008,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
19811,0.56874125,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
21472,0.54142232,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
9209,0.00054692,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
9640,0.00053543,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
4463,0.00064117,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
10838,0.63983202,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
665,0.66859584,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.1881),Candidate for promotion - threshold-qualified
17611,0.00070816,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
22065,0.68267585,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
16587,0.66787218,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
24264,0.00052476,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
3539,0.56484274,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
20913,0.00028592,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | time_on_site_sec (-0.1857),Retention/engagement nudge
18423,0.53034665,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
21117,0.64877549,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
18817,0.00050979,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
23164,0.00034698,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
8881,0.64651625,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
8513,0.64646102,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
11001,0.71535935,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
21158,0.00030852,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
6865,0.78315339,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
24470,0.56748889,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | time_on_site_sec (-0.2020),Investigate checkout/discount friction
17985,0.00046282,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | time_on_site_sec (-0.2028),Retention/engagement nudge
6228,0.49582333,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
7133,0.54678803,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
23657,0.58689658,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | time_on_site_sec (-0.1936),Candidate for promotion - threshold-qualified
20024,0.00058767,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
23168,0.55507922,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
200,0.72683112,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
